	state	district	ppv_name	latitude	longitude
0	Perlis	Kangar	Dewan Seri Melati, Perlis	6.5152961	100.2386186
1	Perlis	Kangar	Dewan Seri Melati, Perlis	6.5152961	100.2386186
2	Perlis	Kangar	Dewan Warisan, Perlis	6.4401103	100.1880866
3	Perlis	Kangar	Dewan Warisan, Perlis	6.4401103	100.1880866
4	Perlis	Perlis	Dewan 2020	6.4148905	100.1949794
5	Perlis	Perlis	Hospital Tuanku Fauziah	6.4403051	100.1904689
6	Penang	Barat Daya	Hospital Balik Pulau	5.3502289	100.2331295
7	Penang	Barat Daya	Kompleks Sukan Balik Pulau	5.3387159	100.2137245
8	Penang	Bayan Lepas	Subterranean Penang International Convention & Exhibition Centre (SPICE)	5.3299751	100.2799923
9	Penang	Bayan Lepas	TAPAK PESTA PULAU PINANG	5.3439362	100.3003605
10	Penang	Seberang Jaya	Tapak Ekspo Seberang Jaya	5.400368	100.4044835
11	Penang	Seberang Perai Selatan	Dewan Serbaguna Jawi	5.1988894	100.4927549
12	Penang	Seberang Perai Selatan	DEWAN SERBAGUNA SG. BAKAP	5.2146223	100.4969337
13	Penang	Seberang Perai Selatan	Hospital Sungai Bakap	5.2192779	100.4972446
14	Penang	SEBERANG PERAI SELATAN	Dewan Serbaguna Jawi	5.1988894	100.4927549
15	Penang	SEBERANG PERAI SELATAN	DEWAN SERBAGUNA SG. BAKAP	5.2146223	100.4969337
16	Penang	SEBERANG PERAI SELATAN	Hospital Sungai Bakap	5.2192779	100.4972446
17	Penang	Seberang Perai Tengah	Hospital Bukit Mertajam	5.3593459	100.4640656
18	Penang	Seberang Perai Tengah	Hospital Seberang Jaya	5.3941082	100.4078271
19	Penang	Seberang Perai Tengah	Seberang Perai Arena Convention Centre	5.3869912	100.4014628
20	Penang	Seberang Perai Utara	Dewan Milenium Kepala Batas	5.5143397	100.4377244
21	Penang	Seberang Perai Utara	DEWAN PERDA CONVENTION CENTRE	5.5034656	100.5012349
22	Penang	Seberang Perai Utara	Hospital Kepala Batas	5.5126465	100.4365729
23	Penang	SEBERANG PERAI UTARA	Dewan Milenium Kepala Batas	5.5143397	100.4377244
24	Penang	SEBERANG PERAI UTARA	DEWAN PERDA CONVENTION CENTRE	5.5034656	100.5012349
25	Penang	SEBERANG PERAI UTARA	Hospital Kepala Batas	5.5126465	100.4365729
26	Penang	Tasek Gelugor	DEWAN PERDA CONVENTION CENTRE	5.5034656	100.5012349
27	Penang	Timur Laut	Hospital Pulau Pinang	5.4170514	100.3114489
28	Penang	Timur Laut	Kompleks Masyarakat Penyayang	5.4177619	100.3053281
29	Kedah	Baling	Dewan Kenangan Tun Abdul Razak	5.6742916	100.9216075
30	Kedah	Baling	Dewan MDB Kupang, Baling	5.6344573	100.8462954
31	Kedah	Baling	Hospital Baling	5.6777182	100.9258165
32	Kedah	Bandar Baharu	Kompleks Sukan Komuniti Serdang	5.2077396	100.6131852
33	Kedah	Kota Setar	Hospital Sultanah Bahiyah	6.1488245	100.4063735
34	Kedah	Kota Setar	Stadium Tertutup Sultan Abdul Halim	6.1505639	100.3653387
35	Kedah	Kuala Muda	Dewan Kenangan MPSP(K)	5.6437089	100.4871204
36	Kedah	Kubang Pasu	Dewan Sri Mas, Polimas Jitra	6.2496681	100.4316558
37	Kedah	Kubang Pasu	Dewan Tunku Anum	6.2992217	100.4218294
38	Kedah	Kubang Pasu	Hospital Jitra	6.2787858	100.4190655
39	Kedah	Kulim	Dewan Bandaran Kulim	5.3693666	100.5585594
40	Kedah	Kulim	Hospital Kulim	5.3931314	100.5730363
41	Kedah	Langkawi	Dewan Badminton Kompleks Sukan LADA, Kuah	6.3314716	99.8584233
42	Kedah	Langkawi	Hospital Langkawi	6.3247688	99.7984415
43	Kedah	Padang Terap	Dewan Tunku Putra, Kuala Nerang	6.257098	100.6128932
44	Kedah	Padang Terap	Hospital Kuala Nerang	6.25263	100.6097715
45	Kedah	Pendang	Dewan Cenderawasih, Pekan Pendang	5.9912128	100.4771107
46	Kedah	Sik	Dewan Al Hana, Kedah	5.824831	100.746754
47	Kedah	Sik	Hospital Sik	5.8122196	100.7269887
48	Kedah	Sungai Petani	Dewan Pusat Latihan Anti Dadah Kebangsaan (PLAK)	5.626002	100.53271
49	Kedah	Sungai Petani	Hospital Sultan Abdul Halim	5.6695817	100.5174146
50	Kedah	Yan	Dewan Serbaguna Guar Chempedak	5.8527056	100.4612488
51	Kedah	Yan	Hospital Yan	5.820611	100.3845112
